    11	1,1002,-32.34244,-0.0,0.0,1.8548,-0.0,0.0,0.0,51.7346,-68.9994,2.0346,12.5914,-22.1768,-1.0572,24.7,-0.1302,-52.5854,1.6877999,5.6042,25.017,-1.9432001,35.28,-20.9104,-27.008001,1.8083999,28.3122,31.0446,-0.6986,1.438,2.6242,53.0764,1.8234,-3.4420002,-30.870201,-0.3094,35.28,-52.941,66.9188,2.1384,-12.9068,22.248001,-1.1891999,21.56,21.1872,26.0746,1.761,-27.4106,-31.1154,-0.7356,1.438,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
    12	1,1002,-32.24011,-0.0,0.0,1.8548,-0.0,0.0,0.0,52.9954,-71.22,1.8648,12.624001,-22.2368,-2.244,24.7,0.4314,-50.078598,1.4283999,5.6186,25.110802,-3.1502,35.28,-17.982,-23.8442,1.6827999,30.088402,32.156002,-1.7122,0.0,2.2810001,49.99,1.7922,-3.4420002,-30.870201,-0.3094,35.28,-54.2286,69.1496,1.9516001,-12.847199,22.3566,-2.4402,21.56,18.3594,22.898201,1.6389999,-28.7984,-32.1768,-1.6746001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
    13	1,1002,-32.130085,-0.0,0.0,1.8548,-0.0,0.0,0.0,54.3658,-73.6346,1.5452,12.678,-22.3348,-3.5622,24.7,0.759,-48.611603,1.2206,5.6270003,25.1766,-3.8683999,35.28,-13.6712,-19.2552,1.3124001,30.5026,32.452,-3.4612,0.0,1.9664,47.1608,1.7316,-3.4420002,-30.870201,-1.175,35.28,-54.976803,70.4558,1.785,-12.808399,22.4154,-3.1654,21.56,15.715,19.9446,1.4272,-28.885,-32.258602,-2.8438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
    14	1,1002,-32.022385,-0.0,0.0,1.8548,-0.0,0.0,0.0,55.4244,-75.4998,1.2008001,12.7262,-22.4224,-4.5992002,24.7,1.6444,-44.609398,0.4592,5.4424,25.3898,-4.9014,35.28,-10.6164,-16.004799,0.898,30.5058,32.6156,-4.6784,0.0,1.622,44.0722,1.5467999,-3.448,-30.9206,-2.4012,35.28,-57.312798,74.5818,0.9876,-12.6764,22.584,-5.4296002,21.56,12.8218,16.7138,1.0736,-28.9748,-32.3534,-4.1238003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
    15	1,1002,-31.91648,-0.0,0.0,1.8548,-0.0,0.0,0.0,56.380802,-77.185,0.8164,12.7722,-22.506,-5.547,24.7,2.029,-42.0356,0.32099998,1.8766,26.001398,0.257,35.28,-7.3816,-12.4122,0.43060002,29.418798,33.5336,-3.5404,0.0,1.1324,39.6808,1.0776,-3.4642,-31.071999,-4.1335998,35.28,-58.2066,76.23,0.5768,-10.686999,20.893,-4.7818,21.56,10.6458,14.284399,0.72400004,-29.0404,-32.4268,-5.0872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
    16	1,1002,-31.806765,-0.0,0.0,1.8548,-0.0,0.0,0.0,58.491,-80.970604,0.322,9.6421995,-18.372,0.2802,100.0,2.0396001,-40.0764,0.3352,-0.90160006,26.2176,0.11359999,35.28,-3.708,-8.2268,0.42700002,28.4004,34.3194,6.2015996,0.0,0.8156,36.826797,0.64199996,-3.3922,-31.1722,-5.1916,35.28,-58.911,78.834,0.32840002,2.1318,12.683599,0.2158,100.0,5.6082,8.5652,0.42540002,-28.768799,-32.7688,6.238,0.0,0.0,-9.93,0.0,0.0,-9.96,0.0,3,B,0,0
    17	1,1002,-31.689737,-0.0,0.0,1.8548,-0.0,0.0,0.0,59.4066,-82.6318,0.3382,6.7182,-10.3062,0.0502,100.0,1.5888001,-35.6708,0.3402,-3.6668,26.671398,0.0044,35.28,-0.6418,-4.0564003,1.2066001,12.7866,43.7456,6.2008,0.0,0.59279996,34.7484,0.3532,-3.3439999,-31.1764,-2.8592002,35.28,-58.2898,80.206604,0.3404,7.3258,11.4726,0.0308,100.0,2.7701998,5.2556,1.0936,-28.3234,-33.150803,6.6098,0.0,0.0,-9.81,0.0,0.0,-9.84,0.0,3,B,0,0
    18	1,1002,-31.578197,-3.3879998,1.2684,2.9732,-55.4884,2.4054,12.6566,59.8174,-83.1914,0.3402,4.2651997,-5.407,0.0094,100.0,1.2346,-33.209198,0.3402,-3.9761999,27.007,0.0042,35.28,-0.1368,-1.8862,1.7032001,0.4804,12.469399,5.0908,0.0,0.0752,29.2902,0.3368,-1.6911999,-31.237,0.0796,35.28,-57.4854,81.24,0.3412,9.905399,11.0096,0.0046,100.0,0.9962,3.4852,1.49,-30.2654,-7.9232,5.0916,0.0,0.0,-9.7,0.0,0.0,-9.734,0.0,3,B,0,0
    19	1,1002,-31.469347,-9.8492,1.5483999,4.3522,-55.2896,2.397,11.0964,60.0124,-83.435196,0.3402,0.1108,-0.1708,0.0042,100.0,0.89779997,-30.9446,0.3402,-4.0958,27.306398,0.0042,35.28,-0.098000005,-0.84220004,1.9896001,0.4548,12.575,0.5442,0.0,0.011,26.6864,0.34,-0.2432,-31.2352,0.0154,35.28,-56.5722,82.1182,0.3412,11.715601,10.1364,0.0038,100.0,-3.9784,4.0168,2.0798,-28.6882,2.8888001,0.3174,0.0,0.0,-9.59,0.0,0.0,-9.625,0.0,3,B,0,0
    20	1,1002,-31.363832,-14.909599,1.7684,5.3082,-55.134598,2.3904,9.8744,59.931602,-83.3408,0.3402,-1.6967999,1.9996,0.0042,100.0,-0.023599999,-26.534399,0.3402,-8.5332,28.456598,0.0,31.66,-0.0352,0.953,1.959,0.4374,12.7602005,-0.3042,0.0,-0.053000003,23.828999,0.3402,-1.572,-31.0896,0.0047999998,47.44,-54.4534,83.409805,0.3412,14.8336,5.4635997,0.0046,100.0,-5.6514,4.1848,2.0708,-28.6882,2.8888001,-0.2786,0.0,0.0,-9.484,0.0,0.0,-9.516,0.0,3,B,0,0
    21	1,1002,-31.253523,-20.414,2.0068,6.2236,-54.966602,2.3832002,8.5454,59.3208,-82.800995,0.3402,-5.5844,3.9726,0.0046,100.0,-0.9364,-24.1706,0.3402,-13.0538,28.123402,0.0,28.06,0.008,2.236,1.9277999,0.432,12.8898,-0.3034,0.0,-0.3328,21.261599,0.3402,-5.0276003,-30.462,0.0047999998,47.44,-53.1704,83.6816,0.3412,15.7086,1.5902001,0.0046,100.0,-8.0414,4.4248,2.0452,-28.6882,2.8888001,-0.309,0.0,0.0,-9.375,0.0,0.0,-9.414,0.0,3,B,0,0
    22	1,1002,-31.138983,-28.1832,2.3434,7.2932,-54.7286,2.3730001,6.6692,58.555,-82.3494,0.3402,-8.369,4.1424,0.0046,100.0,-2.7270002,-21.229399,0.3402,-19.527,26.0424,0.0,36.06,0.0404,3.2068,1.9044,0.4282,12.9869995,-0.30200002,0.0,-2.0654,16.225,0.3402,-15.380799,-26.8128,0.00059999997,43.5,-51.985,83.690994,0.3412,15.7552,-1.148,0.0044,100.0,-13.0604,4.9288,1.9906,-28.6882,2.8888001,-0.309,0.0,0.0,-9.26,0.0,0.0,-9.3,0.0,3,B,0,0
    23	1,1002,-31.030445,-33.647,2.581,7.8886,-54.5606,2.3658,5.3497996,57.9318,-82.0914,0.3402,-10.0936,3.5764,0.0046,100.0,-4.1758,-19.5702,0.3402,-23.424599,23.901001,0.0,32.44,0.0764,4.294,1.8784,0.42080003,13.093,-0.301,0.0,-3.6302,14.1524,0.3402,-21.468601,-23.0704,0.0002,39.9,-49.6042,82.8028,0.3412,12.1186,-9.1934,0.005,100.0,-15.4504,5.1688,1.9646001,-28.6882,2.8888001,-0.309,0.0,0.0,-9.16,0.0,0.0,-9.19,0.0,3,B,0,0
    24	1,1002,-30.924688,-39.5472,2.8364,8.385,-54.3794,2.358,3.925,56.0042,-81.7694,0.3402,-14.479,0.5004,0.0,97.6,-8.5868,-16.3608,0.3402,-31.5324,16.5286,0.0,28.88,0.1478,6.6056,1.7566,0.397,13.3156,-1.5639999,0.0,-5.4378004,12.5882,0.3402,-26.0398,-19.0666,0.0002,36.3,-48.8036,81.98981,0.3412,9.6398,-11.9154005,0.0046,100.0,-17.6014,5.3848,1.9411999,-28.6882,2.8888001,-0.309,0.0,0.0,-9.05,0.0,0.0,-9.08,0.0,3,B,0,0
    25	1,1002,-30.809055,-44.5244,3.052,8.6846,-54.227596,2.3514,2.7229998,54.806202,-81.761,0.3402,-17.133001,-0.32880002,-0.00059999997,93.56,-11.654201,-15.063001,0.3402,-34.8744,12.5334,-0.00059999997,24.8,0.183,7.8320003,1.555,0.3866,13.4332,-2.7266,0.0,-10.6716,9.9288,0.3402,-32.6292,-12.9362,-0.00059999997,32.25,-48.097,80.916405,0.3412,7.4515996,-13.5776005,0.0042,100.0,-22.6204,5.8888,1.6789999,-28.6882,2.8888001,-2.5812,0.0,0.0,-8.92,0.0,0.0,-8.96,0.0,3,B,0,0
    26	1,1002,-30.693726,-50.8388,3.3264,8.907001,-54.0344,2.343,1.1980001,52.9152,-81.8538,0.49,-20.4032,-1.3146001,6.0690002,89.7,-15.289599,-13.9348,0.3402,-37.4774,10.6104,-0.00059999997,20.95,0.2214,9.1824,1.2132,0.38740003,13.564,-4.0052,0.0,-13.4872,8.9,0.3402,-34.757,-11.7424,-0.00059999997,28.4,-47.462204,78.5908,0.3412,1.4024,-15.4406,0.0032,100.0,-25.0104,6.1288,1.4139999,-28.6884,2.8884,-3.6629999,0.0,0.0,-8.81,0.0,0.0,-8.84,0.0,3,B,0,0
    27	1,1002,-30.583298,-57.5794,3.6183999,8.9482,-53.827404,2.3339999,-0.42900002,49.038998,-82.123604,1.4686,-33.939,-2.4726,5.3521996,86.1,-21.500801,-12.2816,0.3402,-40.7356,10.5538,-0.00059999997,17.39,0.317,11.334001,0.4612,1.3624,13.313001,-3.98,0.0,-17.1082,7.8617997,0.3402,-37.4668,-8.8742,0.0,24.84,-47.423798,77.2696,0.3412,-0.100600004,-16.246801,0.0028,100.0,-27.8808,6.4162,0.9786,-28.723999,2.859,-4.9323997,0.0,0.0,-8.7,0.0,0.0,-8.74,0.0,3,B,0,0
    28	1,1002,-30.471138,-63.847202,3.89,8.804,-53.634598,2.3256,-1.9403999,46.141403,-82.3352,1.8346001,-35.2044,-2.5770001,3.6364002,85.1,-24.969799,-11.387199,0.3402,-42.353798,10.8938,-0.00059999997,13.484,0.7382,12.549399,0.318,6.9814,10.659599,0.214,0.0,-23.3684,6.9771996,0.3402,-41.2304,-3.0862,-0.00059999997,20.94,-47.488,74.5228,0.3412,0.20879999,-18.2976,0.0036000002,100.0,-32.1918,6.286,0.32479998,-26.423601,-3.8951998,-1.0562,0.0,0.0,-8.59,0.0,0.0,-8.625,0.0,3,B,0,0
    29	1,1002,-30.36156,-69.6472,4.1422,8.512199,-53.457798,2.3178,-3.3392,43.499,-82.528,1.9802,-35.2492,-2.5802,0.067,85.1,-28.940601,-10.3674,0.3402,-44.119198,11.323199,-0.00059999997,9.91,1.4124,13.250799,0.3336,10.375999,8.4178,0.1444,0.0,-27.1442,6.8803997,0.3402,-41.0222,0.8592,0.0044,21.95,-47.337997,72.81,0.3412,2.9,-18.9596,0.004,100.0,-35.0818,5.9412,0.3328,-26.896002,-2.3406,0.1462,0.0,0.0,-8.484,0.0,0.0,-8.52,0.0,3,B,0,0
    30	1,1002,-30.248276,-74.9842,4.3732,8.1084,-53.2946,2.3106,-4.6264,37.6278,-82.9564,1.93,-35.1676,-2.5722,-0.3298,96.9,-33.4006,-9.2046,0.3402,-44.3552,12.1906,-0.0004,6.082,3.5858,14.260401,0.3402,15.0536,3.6898,0.006,0.0,-30.4944,7.1653996,0.3402,-39.4258,5.5788,0.0044,21.95,-47.052998,71.5416,0.3412,5.4094,-19.0052,0.004,100.0,-36.8838,5.8297997,0.3384,-27.1194,-1.0724,0.0476,0.0,0.0,-8.37,0.0,0.0,-8.41,0.0,3,B,0,0
    31	1,1002,-30.143518,-79.3404,4.597,7.4786,31.854198,-0.2626,-4.0158,34.41,-83.191795,1.9008,-35.050602,-2.5616,-0.311,96.9,-41.0362,-6.5824,0.3402,-42.742996,17.0006,-0.00059999997,2.525,5.0466,14.433001,0.3402,16.5398,0.2918,0.0052,0.0,-36.365402,8.856,0.3402,-34.8824,15.0864,0.0047999998,21.95,-45.6948,68.6166,0.3412,10.771801,-18.136,0.0023999999,100.0,-39.380802,5.8224,0.3402,-27.335,0.566,0.0066000004,0.0,0.0,-8.266,0.0,0.0,-8.305,0.0,3,B,0,0
    32	1,1002,-30.035393,-76.1602,4.5706,7.0074,31.7558,-0.2602,-5.3008003,32.0764,-83.362595,1.8806,-34.9672,-2.554,-0.2962,96.9,-45.2974,-4.8073997,0.3402,-42.1668,18.3834,-0.00059999997,0.0,6.7671995,14.3222,0.5416,17.788,-1.9842,6.1590004,0.0,-39.6254,10.6388,0.3402,-30.101599,20.3534,0.0054,21.95,-44.556,66.781,0.3412,11.703199,-18.6606,0.0026,100.0,-42.1258,5.9396,0.3402,-27.5506,1.5519999,0.0042,0.0,0.0,-8.16,0.0,0.0,-8.195,0.0,3,B,0,0
    33	1,1002,-29.927746,-72.7264,4.5420003,6.3521996,31.649199,-0.2576,-6.6884003,25.9682,-83.8078,1.8222001,-34.8868,-2.5456,-0.667,96.9,-47.736603,-3.6926,0.3402,-41.5042,19.7332,0.004,0.0,8.1164,14.1562,1.0228,18.0436,-2.2314,6.235,0.0,-41.2334,11.9466,0.3402,-25.456999,23.9418,0.0054,21.95,-43.634598,65.381004,0.3412,12.9552,-18.471199,0.0036000002,100.0,-46.5186,6.2252,0.3402,-27.9158,1.9175999,0.0042,0.0,0.0,-8.055,0.0,0.0,-8.086,0.0,3,B,0,0
    34	1,1002,-29.8211,-69.8298,4.5178,5.6806,31.56,-0.2554,-7.8592,22.7682,-84.04099,1.7072,-34.9346,-2.5478,-1.7466,96.9,-51.1244,-1.975,0.8622,-40.4226,20.8942,6.7396,0.0,11.8252,13.5928,1.7653999,27.978998,-4.3626003,4.3346,0.0,-42.9756,14.141999,0.3402,-16.9702,28.0282,0.0054,21.95,-42.459198,63.884598,0.3412,15.1714,-17.3548,0.004,100.0,-49.322998,6.4196,0.6462,-28.138601,1.9588001,6.3198,0.0,0.0,-7.945,0.0,0.0,-7.98,0.0,3,B,0,0
    35	1,1002,-29.719934,-66.679,4.4914002,4.8256,31.463999,-0.253,-9.1324,19.8538,-84.253,1.5158,-35.01,-2.5466,-2.7485998,96.9,-58.1802,1.6653999,2.184,-40.33,20.795801,7.0984,0.0,14.159399,13.2288,1.9433999,28.0276,-4.3698,-0.0228,0.0,-44.325,19.3418,0.3402,-0.3702,29.9726,0.0047999998,21.95,-39.705,61.480602,0.3412,19.0884,-12.858001,0.0046,100.0,-50.9664,6.5344,1.0432,-28.208,1.9636,7.2078004,0.0,0.0,-7.84,0.0,0.0,-7.875,0.0,3,B,0,0
    36	1,1002,-29.610651,-65.0154,5.7346,4.0318,-38.7796,39.606598,3.512,14.882199,-84.6128,0.9954,-35.1742,-2.5284,-4.5022,96.9,-60.276802,2.4796,2.5019999,-45.1024,7.2308,5.3744,0.0,16.495,12.8647995,1.9194,28.0152,-4.3588,-0.335,0.0,-44.0394,22.0312,0.3402,5.8544,28.6538,0.0047999998,34.12,-37.6908,60.4842,0.3412,20.870201,-7.084,0.0052,100.0,-55.4428,6.8459997,2.1224,-28.311201,1.9696001,5.8766,0.0,0.0,-7.73,0.0,0.0,-7.766,0.0,3,B,0,0
    37	1,1002,-29.50025,-69.5308,10.3464,4.346,-38.6404,39.464,1.9842,11.369399,-84.7984,0.4786,-34.948997,-0.47419998,-5.2391996,96.9,-66.368996,3.111,2.9564002,-37.4204,3.5316,0.3868,0.0,19.059399,12.466801,1.8886,27.9368,-4.3276,-0.32740003,0.0,-43.322998,24.3298,0.3402,10.7478,26.5866,0.0047999998,34.12,-35.7584,60.176804,0.3412,20.978,-0.14899999,0.0052,100.0,-59.6402,5.662,2.7822,-32.5742,-12.487801,4.1256,0.0,0.0,-7.62,0.0,0.0,-7.656,0.0,3,B,0,0
    38	1,1002,-29.385227,-73.067406,13.9586,4.468,-38.5326,39.354,0.7878,8.2074,-84.5972,0.316,-34.137802,4.2307997,0.2688,96.9,-69.4886,3.4066,2.9414,-37.4292,3.5434,-0.2998,100.0,23.928799,11.7166,1.8348,27.7318,-4.253,-0.2902,0.0,-41.9718,26.816599,0.3402,15.478001,23.5246,0.0042,34.12,-33.7448,60.5652,0.3412,19.1656,7.1132,0.0047999998,100.0,-62.0848,4.726,3.004,-32.604,-12.4804,0.7274,0.0,0.0,-7.504,-9.92,0.0,-7.54,0.0,3,B,0,0
    39	1,1002,-29.278051,-76.9142,17.8876,4.4764004,-38.415,39.233997,-0.513,4.8566,-83.921394,0.336,-32.814598,9.0402,0.098400004,96.9,-72.2966,3.6729999,2.918,-37.4292,3.5434,-0.309,100.0,26.6986,11.2928,1.8060001,27.681398,-4.2311997,-0.2784,0.0,-39.5208,29.9572,0.3402,18.3408,21.366201,0.004,34.12,-31.0942,62.4196,0.3412,14.365,15.1234,0.0042,100.0,-65.3454,3.478,2.9885998,-32.604,-12.4804,-0.3034,0.0,0.0,-7.395,-9.81,0.0,-7.43,0.0,3,B,0,0
    40	1,1002,-29.16274,-78.7356,22.64,4.7422,22.126398,25.483799,5.376,-0.0016,-81.7876,0.3402,-28.612,17.0194,0.0046,100.0,-78.2246,4.2354,2.8686,-37.4292,3.5434,-0.309,100.0,29.2368,10.905601,1.7356,27.7048,-4.2322,-1.2532,0.0,-37.8128,31.901201,0.8076,18.739,21.166,6.4262,34.12,-30.1206,63.6506,0.3412,11.8364,17.326801,0.0042,100.0,-70.5072,1.502,2.9392002,-32.604,-12.4804,-0.309,0.0,0.0,-7.285,-9.7,0.0,-7.32,0.0,3,B,0,0
    41	1,1002,-29.059345,-76.159,25.607399,5.2734003,22.048,25.3914,3.8418,-1.8572,-80.5796,0.3402,-27.3484,18.7888,0.0042,100.0,-80.8894,4.4614,3.269,-11.3108,0.44939998,9.8303995,100.0,33.865402,10.198,1.3526,27.8454,-4.2626,-3.2552,0.0,-33.6474,36.1746,1.6866001,27.1056,27.1636,4.2111998,34.12,-28.8916,66.8694,0.3412,2.6716,20.6072,0.0046,100.0,-73.2238,0.462,2.9132001,-32.604,-12.4804,-0.309,0.0,0.0,-7.18,-9.59,0.0,-7.215,0.0,3,B,0,0
    42	1,1002,-28.947184,-74.141205,27.931398,5.5656,21.986399,25.318798,2.6398,-3.8822,-79.1352,0.3402,-26.825,19.4954,0.0042,100.0,-81.3506,4.5098,3.8576002,-5.4984,1.3522,10.0708,97.6,36.423203,9.806,0.9976,27.950201,-4.2878,-4.3904,0.0,-31.161598,38.665,1.8282001,27.113602,27.176,-0.177,34.12,-28.8952,68.7706,0.3412,-2.0182002,20.668402,0.0046,100.0,-76.212204,-0.682,2.8846,-32.604,-12.4804,-0.309,0.0,0.0,-7.066,-9.484,0.0,-7.105,0.0,3,B,0,0
    43	1,1002,-28.839657,-71.581,30.8796,5.7782,21.908,25.228601,1.1151999,-8.7846,-75.5412,0.3402,-26.6986,19.660799,0.0042,100.0,-81.567795,5.7052,5.288,-0.067,10.369201,4.2038,93.94,38.288403,9.515,0.6738,27.9412,-4.6636,-5.2134004,0.0,-29.3592,40.4698,1.8374001,26.7746,26.7916,1.2966,34.12,-29.1178,70.132996,0.3412,-4.1842003,20.260601,0.004,100.0,-78.929,-1.722,2.8498,-32.604,-12.4804,-0.7418,0.0,0.0,-6.96,-9.375,0.0,-6.996,0.0,3,B,0,0
    44	1,1002,-28.727491,-69.2118,33.608,5.8166,21.8352,25.145401,-0.295,-11.580999,-73.3026,0.3402,-24.88,21.6838,0.0044,100.0,-81.5732,6.6061997,5.5346003,-0.0706,13.301999,2.5484,90.25,40.3772,9.1208,0.352,27.8422,-5.5812,-2.512,0.0,-25.1184,44.7106,1.8828,26.7746,26.7916,-0.2942,34.12,-29.4872,71.6396,0.3412,-5.609,19.8358,0.0038,100.0,-81.1018,-3.4692001,3.4074,-5.1,-8.948,3.4552,0.0,0.0,-6.85,-9.266,0.0,-6.887,0.0,3,B,0,0
    45	1,1002,-28.619606,-66.8506,36.327198,5.7028003,21.7624,25.0622,-1.6992,-13.226601,-71.8468,0.3402,-24.668999,21.799,0.0044,100.0,-81.5786,7.8561997,5.6428003,-0.0504,16.3442,0.124,86.5,45.727596,8.1278,0.3382,27.959,-4.9224,0.051999997,0.0,-22.886398,46.942596,1.857,26.7746,26.7916,-0.309,34.12,-31.2726,74.8142,0.3412,-13.5348,11.9904,-0.0022,96.2,-81.2898,-4.1712,3.691,-0.7488,-7.9811997,2.9964,0.0,0.0,-6.74,-9.16,0.0,-6.773,0.0,3,B,0,0
    46	1,1002,-28.510546,-64.6782,38.8292,5.4628005,21.6952,24.985401,-2.9914002,-15.5496,-69.9304,0.3402,-26.139,19.7826,0.0046,100.0,-81.558,10.851801,5.2153997,0.2618,21.124199,-4.7382,82.9,48.0576,7.7204,0.3402,27.967,-4.8718,0.0078,0.0,-20.8776,48.9514,1.8336,26.7746,26.7916,-0.309,34.12,-32.5448,75.5264,0.3412,-16.4264,5.545,-0.0022,92.56,-81.3184,-4.7292004,3.8414001,-0.2518,-6.4867997,1.1128,0.0,0.0,-6.63,-9.05,0.0,-6.664,0.0,3,B,0,0
